# Simple Labels + No LDCA PRM Training Progress
# Model: AdaptivePRM
# Loss: 50% ListNet + 50% MSE
# Weighting: Uniform (no LDCA)
# Metrics: ranking_accuracy, spearman, loss
# Format: {metrics_dict}

{'train/listnet_loss': 0.3188737630844116, 'train/mse_loss': 0.007342577911913395, 'train/n_groups': 3, 'train/total_loss': 0.16310817003250122, 'epoch': 0.23123106582208758}
{'train/listnet_loss': 0.27594083547592163, 'train/mse_loss': 0.004812988918274641, 'train/n_groups': 2, 'train/total_loss': 0.14037691056728363, 'epoch': 0.23398512806389424}
{'train/listnet_loss': 0.26403528451919556, 'train/mse_loss': 0.0030502318404614925, 'train/n_groups': 2, 'train/total_loss': 0.1335427612066269, 'epoch': 0.2367391903057009}
{'train/listnet_loss': 0.3009551763534546, 'train/mse_loss': 0.004428441170603037, 'train/n_groups': 3, 'train/total_loss': 0.1526918113231659, 'epoch': 0.23949325254750758}
{'train/listnet_loss': 0.2815837264060974, 'train/mse_loss': 0.0019071291899308562, 'train/n_groups': 2, 'train/total_loss': 0.1417454332113266, 'epoch': 0.24224731478931424}
{'train/listnet_loss': 0.268609881401062, 'train/mse_loss': 0.010384339839220047, 'train/n_groups': 2, 'train/total_loss': 0.13949711620807648, 'epoch': 0.2450013770311209}
{'train/listnet_loss': 0.27357029914855957, 'train/mse_loss': 0.006559280678629875, 'train/n_groups': 2, 'train/total_loss': 0.1400647908449173, 'epoch': 0.24775543927292756}
{'train/listnet_loss': 0.28010794520378113, 'train/mse_loss': 0.005342321004718542, 'train/n_groups': 2, 'train/total_loss': 0.1427251398563385, 'epoch': 0.2505095015147342}
{'train/listnet_loss': 0.30787524580955505, 'train/mse_loss': 0.0027953360695391893, 'train/n_groups': 3, 'train/total_loss': 0.15533529222011566, 'epoch': 0.2532635637565409}
{'train/listnet_loss': 0.27176111936569214, 'train/mse_loss': 0.0032723359763622284, 'train/n_groups': 2, 'train/total_loss': 0.13751672208309174, 'epoch': 0.25601762599834754}
{'train/listnet_loss': 0.26016107201576233, 'train/mse_loss': 0.00594055512920022, 'train/n_groups': 2, 'train/total_loss': 0.1330508142709732, 'epoch': 0.25877168824015423}
{'train/listnet_loss': 0.30362576246261597, 'train/mse_loss': 0.00486779073253274, 'train/n_groups': 3, 'train/total_loss': 0.15424677729606628, 'epoch': 0.2615257504819609}
{'train/listnet_loss': 0.3096189498901367, 'train/mse_loss': 0.002600347623229027, 'train/n_groups': 3, 'train/total_loss': 0.15610964596271515, 'epoch': 0.26427981272376755}
{'train/listnet_loss': 0.2602604627609253, 'train/mse_loss': 0.003313764464110136, 'train/n_groups': 2, 'train/total_loss': 0.13178710639476776, 'epoch': 0.26703387496557424}
{'train/listnet_loss': 0.3153963088989258, 'train/mse_loss': 0.005398117005825043, 'train/n_groups': 3, 'train/total_loss': 0.1603972166776657, 'epoch': 0.26978793720738087}
{'train/listnet_loss': 0.31275007128715515, 'train/mse_loss': 0.0041237883269786835, 'train/n_groups': 3, 'train/total_loss': 0.15843692421913147, 'epoch': 0.27254199944918756}
{'train/listnet_loss': 0.30827993154525757, 'train/mse_loss': 0.0022540013305842876, 'train/n_groups': 3, 'train/total_loss': 0.15526697039604187, 'epoch': 0.27529606169099424}
{'train/listnet_loss': 0.2755398154258728, 'train/mse_loss': 0.00903126411139965, 'train/n_groups': 2, 'train/total_loss': 0.1422855406999588, 'epoch': 0.2780501239328009}
{'train/listnet_loss': 0.28134384751319885, 'train/mse_loss': 0.0025479483883827925, 'train/n_groups': 2, 'train/total_loss': 0.14194589853286743, 'epoch': 0.28080418617460756}
{'train/listnet_loss': 0.26900944113731384, 'train/mse_loss': 0.010912597179412842, 'train/n_groups': 2, 'train/total_loss': 0.13996101915836334, 'epoch': 0.2835582484164142}
{'train/listnet_loss': 0.26413795351982117, 'train/mse_loss': 0.014250535517930984, 'train/n_groups': 2, 'train/total_loss': 0.13919425010681152, 'epoch': 0.2863123106582209}
{'train/listnet_loss': 0.3234756290912628, 'train/mse_loss': 0.007062513381242752, 'train/n_groups': 3, 'train/total_loss': 0.16526907682418823, 'epoch': 0.28906637290002757}
{'train/listnet_loss': 0.2684258818626404, 'train/mse_loss': 0.002022541593760252, 'train/n_groups': 2, 'train/total_loss': 0.13522420823574066, 'epoch': 0.2918204351418342}
{'train/listnet_loss': 0.26989319920539856, 'train/mse_loss': 0.0036918020341545343, 'train/n_groups': 2, 'train/total_loss': 0.13679249584674835, 'epoch': 0.2945744973836409}
{'train/listnet_loss': 0.3009171485900879, 'train/mse_loss': 0.0073441751301288605, 'train/n_groups': 3, 'train/total_loss': 0.15413066744804382, 'epoch': 0.2973285596254475}
{'train/listnet_loss': 0.31764358282089233, 'train/mse_loss': 0.002345870714634657, 'train/n_groups': 3, 'train/total_loss': 0.1599947214126587, 'epoch': 0.3000826218672542}
{'train/listnet_loss': 0.2608323395252228, 'train/mse_loss': 0.0026401341892778873, 'train/n_groups': 2, 'train/total_loss': 0.13173623383045197, 'epoch': 0.30283668410906084}
{'train/listnet_loss': 0.27777940034866333, 'train/mse_loss': 0.005244365893304348, 'train/n_groups': 2, 'train/total_loss': 0.14151188731193542, 'epoch': 0.3055907463508675}
{'train/listnet_loss': 0.26022887229919434, 'train/mse_loss': 0.013194269500672817, 'train/n_groups': 2, 'train/total_loss': 0.13671156764030457, 'epoch': 0.3083448085926742}
{'train/listnet_loss': 0.3145233988761902, 'train/mse_loss': 0.0036072167567908764, 'train/n_groups': 3, 'train/total_loss': 0.15906530618667603, 'epoch': 0.31109887083448085}
{'train/listnet_loss': 0.3190743625164032, 'train/mse_loss': 0.006248497404158115, 'train/n_groups': 3, 'train/total_loss': 0.16266143321990967, 'epoch': 0.31385293307628753}
