# Simple Labels + Strong LDCA PRM Training Progress
# Model: AdaptivePRM
# Loss: 50% ListNet + 50% MSE
# LDCA: Strong weighting (alpha_victim=2.0, alpha_lucky=1.5)
# Metrics: ranking_accuracy, spearman, loss, weight_stats, gradient_norm
# Format: {metrics_dict}

{'eval_loss': 0.005552627061729669, 'eval_ranking_accuracy': 0.7856196343234138, 'eval_spearman': 0.6952452878983677, 'epoch': 0.11016248967226659}
{'train/listnet_loss': 0.3450651168823242, 'train/mse_loss': 0.014097178354859352, 'train/n_groups': 2, 'train/total_loss': 0.1795811504125595, 'train/weight_mean': 1.0638055801391602, 'train/weight_std': 0.46232491731643677, 'train/weight_min': 0.4269883334636688, 'train/weight_max': 1.9127939939498901, 'train/victim_pct': 43.75, 'train/lucky_pct': 31.25, 'train/agreement_pct': 25.0, 'epoch': 0.112806389424401}
{'train/listnet_loss': 0.32181423902511597, 'train/mse_loss': 0.010607968084514141, 'train/n_groups': 2, 'train/total_loss': 0.1662110984325409, 'train/weight_mean': 1.2944891452789307, 'train/weight_std': 0.5125321745872498, 'train/weight_min': 0.25, 'train/weight_max': 2.033954381942749, 'train/victim_pct': 68.75, 'train/lucky_pct': 18.75, 'train/agreement_pct': 12.5, 'epoch': 0.11556045166620765}
{'train/listnet_loss': 0.37487906217575073, 'train/mse_loss': 0.009008418768644333, 'train/n_groups': 3, 'train/total_loss': 0.19194373488426208, 'train/weight_mean': 1.2730953693389893, 'train/weight_std': 0.4092077910900116, 'train/weight_min': 0.5199999809265137, 'train/weight_max': 2.3101999759674072, 'train/victim_pct': 62.5, 'train/lucky_pct': 12.5, 'train/agreement_pct': 25.0, 'epoch': 0.11831451390801433}
{'train/listnet_loss': 0.324909508228302, 'train/mse_loss': 0.002381047233939171, 'train/n_groups': 2, 'train/total_loss': 0.16364528238773346, 'train/weight_mean': 1.0109375715255737, 'train/weight_std': 0.2863194942474365, 'train/weight_min': 0.41499999165534973, 'train/weight_max': 1.399999976158142, 'train/victim_pct': 25.0, 'train/lucky_pct': 18.75, 'train/agreement_pct': 56.25, 'epoch': 0.12106857614982099}
{'train/listnet_loss': 0.4184788167476654, 'train/mse_loss': 0.006428009830415249, 'train/n_groups': 2, 'train/total_loss': 0.21245341002941132, 'train/weight_mean': 1.3597480058670044, 'train/weight_std': 0.39370518922805786, 'train/weight_min': 1.0, 'train/weight_max': 2.3212265968322754, 'train/victim_pct': 56.25, 'train/lucky_pct': 0.0, 'train/agreement_pct': 43.75, 'epoch': 0.12382263839162765}
{'train/listnet_loss': 0.355630487203598, 'train/mse_loss': 0.006282240152359009, 'train/n_groups': 3, 'train/total_loss': 0.18095636367797852, 'train/weight_mean': 1.0472745895385742, 'train/weight_std': 0.37713155150413513, 'train/weight_min': 0.3722626566886902, 'train/weight_max': 1.8979980945587158, 'train/victim_pct': 31.25, 'train/lucky_pct': 25.0, 'train/agreement_pct': 43.75, 'epoch': 0.12657670063343432}
{'train/listnet_loss': 0.49658888578414917, 'train/mse_loss': 0.004695598501712084, 'train/n_groups': 4, 'train/total_loss': 0.25064224004745483, 'train/weight_mean': 1.4984490871429443, 'train/weight_std': 0.4149627685546875, 'train/weight_min': 0.550000011920929, 'train/weight_max': 2.258965492248535, 'train/victim_pct': 87.5, 'train/lucky_pct': 6.25, 'train/agreement_pct': 6.25, 'epoch': 0.12933076287524098}
{'train/listnet_loss': 0.36338067054748535, 'train/mse_loss': 0.010731684975326061, 'train/n_groups': 2, 'train/total_loss': 0.18705618381500244, 'train/weight_mean': 1.344541311264038, 'train/weight_std': 0.43168625235557556, 'train/weight_min': 0.6212266683578491, 'train/weight_max': 2.1993980407714844, 'train/victim_pct': 68.75, 'train/lucky_pct': 18.75, 'train/agreement_pct': 12.5, 'epoch': 0.13208482511704764}
{'train/listnet_loss': 0.361843466758728, 'train/mse_loss': 0.007001981604844332, 'train/n_groups': 2, 'train/total_loss': 0.18442273139953613, 'train/weight_mean': 1.3143013715744019, 'train/weight_std': 0.3258410692214966, 'train/weight_min': 0.6495323777198792, 'train/weight_max': 1.8365819454193115, 'train/victim_pct': 62.5, 'train/lucky_pct': 6.25, 'train/agreement_pct': 31.25, 'epoch': 0.1348388873588543}
